"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"MORGAN STANLEY","PDJ","$61.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","PEL","$47.8","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","PPY","$29.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","RBL","$22.8","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley","RDP","$28.3","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","RPN","$49.7","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","SAR","$64.0","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley","SBK","$14.0","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","SBM","$16.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","SDM","$0.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley","SPU","$11.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley","SVL","$20.8","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","XVS","$15.7","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","XZO","$16.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"MORGAN STANLEY","XZP","$20.3","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","BGD","$45.1","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","BOI","$157.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","BRD","$56.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","BXB","$32.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","DBX","$31.6","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","DFB","$28.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","DMJ","$305.6","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","DRU","$30.1","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","EFP","$18.7","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MBK","$24.8","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MCB","$21.2","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MHT","$125.5","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MJP","$60.5","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MRP","$203.7","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","MSU","$133.5","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","RBG","$65.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","RXB","$60.4","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","TPA","$72.8","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Morgan Stanley Dean Witter & Co.","TPS","$22.1","Morgan Stanley is a global financial services firm that, through its
subsidiaries and affiliates, provides its products and services to a large and
diversified group of clients and customers, including corporations, governments,
financial institutions and individuals. Morgan Stanley was originally
incorporated under the laws of the State of Delaware in 1981, and its
predecessor companies date back to 1924. Morgan Stanley conducts its business
from its headquarters in and around New York City, its regional offices and
branches throughout the U.S. and its principal offices in London, Tokyo, Hong
Kong and other world financial centers. At November 30, 2006, Morgan Stanley had
55,310 employees worldwide. Unless the context otherwise requires, the terms
“Morgan Stanley,” the “Company,” “we” and “our” mean Morgan Stanley and its
consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f02%2f13%2f0001193125-07-027693.html#FIS_BUSINESS"" &nbsp;&nbsp;"
